facility_id,ReportDate,AppointmentType,VA Facility Location,state,NewPatients
402,2026-01-21,MENTAL HEALTH INDIVIDUAL,"TOGUS VA MEDICAL CENTER, ME",ME,22.5
402GA,2026-01-21,MENTAL HEALTH INDIVIDUAL,"PRESQUE ISLE VA CLINIC, ME",ME,30.9
402GB,2026-01-21,MENTAL HEALTH INDIVIDUAL,"CALAIS VA CLINIC, ME",ME,46.6
402GE,2026-01-21,MENTAL HEALTH INDIVIDUAL,"LEWISTON VA CLINIC, ME",ME,48.0
402HB,2026-01-21,MENTAL HEALTH INDIVIDUAL,"BANGOR VA CLINIC, ME",ME,70.6
402HC,2026-01-21,MENTAL HEALTH INDIVIDUAL,"PORTLAND VA CLINIC, ME",ME,60.7
405,2026-01-21,MENTAL HEALTH INDIVIDUAL,"WHITE RIVER JUNCTION VAMC, VT",VT,26.9
405GA,2026-01-21,MENTAL HEALTH INDIVIDUAL,"BENNINGTON VA CLINIC, VT",VT,41.3
405HA,2026-01-21,MENTAL HEALTH INDIVIDUAL,"BURLINGTON LAKESIDE VA CLINIC, VT (CBOC)",VT,30.0
405HF,2026-01-21,MENTAL HEALTH INDIVIDUAL,"RUTLAND, VT",VT,42.5
436GB,2026-01-21,MENTAL HEALTH INDIVIDUAL,"GREAT FALLS VA CLINIC, MT",MT,23.5
436GD,2026-01-21,MENTAL HEALTH INDIVIDUAL,"TRAVIS W. ATKINS VA CLINIC, MT",MT,0.0
436GF,2026-01-21,MENTAL HEALTH INDIVIDUAL,"KALISPELL VA CLINIC, MT",MT,49.8
436GH,2026-01-21,MENTAL HEALTH INDIVIDUAL,"BENJAMIN C. STEELE VA CLINIC, MT",MT,4.5
437,2026-01-21,MENTAL HEALTH INDIVIDUAL,"FARGO VA MEDICAL CENTER, ND",ND,31.2
437GB,2026-01-21,MENTAL HEALTH INDIVIDUAL,"BISMARCK VA CLINIC, ND",ND,50.7
437GC,2026-01-21,MENTAL HEALTH INDIVIDUAL,"FERGUS FALLS VA CLINIC, MN",MN,26.5
437GD,2026-01-21,MENTAL HEALTH INDIVIDUAL,"MINOT VA CLINIC, ND",ND,45.5
437GE,2026-01-21,MENTAL HEALTH INDIVIDUAL,"BEMIDJI VA CLINIC, MN",MN,34.3
437GI,2026-01-21,MENTAL HEALTH INDIVIDUAL,"GRAND FORKS VA CLINIC, ND",ND,61.8
437GJ,2026-01-21,MENTAL HEALTH INDIVIDUAL,"DICKINSON VA CLINIC, ND",ND,31.5
437GK,2026-01-21,MENTAL HEALTH INDIVIDUAL,"JAMESTOWN VA CLINIC, ND",ND,17.3
438,2026-01-21,MENTAL HEALTH INDIVIDUAL,"ROYAL C. JOHNSON VAMC, SD",SD,10.3
438GA,2026-01-21,MENTAL HEALTH INDIVIDUAL,"SPIRIT LAKE VA CLINIC, IA",IA,11.3
438GC,2026-01-21,MENTAL HEALTH INDIVIDUAL,"SIOUX CITY VA CLINIC, SD",SD,14.0
438GD,2026-01-21,MENTAL HEALTH INDIVIDUAL,"ABERDEEN VA CLINIC, SD",SD,21.5
442,2026-01-21,MENTAL HEALTH INDIVIDUAL,"CHEYENNE VA MEDICAL CENTER, WY",WY,48.4
442GC,2026-01-21,MENTAL HEALTH INDIVIDUAL,"FORT COLLINS VA CLINIC, CO",CO,18.3
442GD,2026-01-21,MENTAL HEALTH INDIVIDUAL,"LOVELAND VA CLINIC, CO",CO,7.0
442GE,2026-01-21,MENTAL HEALTH INDIVIDUAL,"NORTHERN COLORADO VA CLINIC, CO",CO,40.8
459,2026-01-21,MENTAL HEALTH INDIVIDUAL,"SPARK M. MATSUNAGA VAMC, HI",HI,14.3
459GA,2026-01-21,MENTAL HEALTH INDIVIDUAL,"MAUI VA CLINIC, HI",HI,21.6
459GB,2026-01-21,MENTAL HEALTH INDIVIDUAL,"HILO VA CLINIC, HI",HI,50.7
459GC,2026-01-21,MENTAL HEALTH INDIVIDUAL,"KAILUA KONA, HI",HI,22.5
459GD,2026-01-21,MENTAL HEALTH INDIVIDUAL,"LIHUE, HI",HI,44.0
459GE,2026-01-21,MENTAL HEALTH INDIVIDUAL,VA GUAM CBOC,GU,67.2
459GF,2026-01-21,MENTAL HEALTH INDIVIDUAL,FALEOMAVAEGA HUNKIN VA CLINIC,AS,22.3
459GG,2026-01-21,MENTAL HEALTH INDIVIDUAL,"DANIEL KAHIKINA AKAKA VA CLINIC, HI",HI,16.2
459QC,2026-01-21,MENTAL HEALTH INDIVIDUAL,"WINDWARD VA CLINIC, HI",HI,50.0
460,2026-01-21,MENTAL HEALTH INDIVIDUAL,"WILMINGTON VA MEDICAL CENTER, DE",DE,20.6
460GA,2026-01-21,MENTAL HEALTH INDIVIDUAL,"SUSSEX COUNTY VA CLINIC, DE",DE,74.0
460GC,2026-01-21,MENTAL HEALTH INDIVIDUAL,"KENT COUNTY VA CLINIC, DE",DE,7.0
460HE,2026-01-21,MENTAL HEALTH INDIVIDUAL,"ATLANTIC COUNTY VA CLINIC, NJ",NJ,11.0
463,2026-01-21,MENTAL HEALTH INDIVIDUAL,"COL RASMUSON CAMPUS AK VAHCS, AK",AK,44.7
463GA,2026-01-21,MENTAL HEALTH INDIVIDUAL,"FAIRBANKS VA CLINIC, AK",AK,19.2
463GB,2026-01-21,MENTAL HEALTH INDIVIDUAL,"SOLDOTNA VA CLINIC, AK",AK,31.2
463GC,2026-01-21,MENTAL HEALTH INDIVIDUAL,"MAT-SU VA CLINIC, AK",AK,38.1
463GE,2026-01-21,MENTAL HEALTH INDIVIDUAL,"JUNEAU VA CLINIC, AK",AK,5.0
501,2026-01-21,MENTAL HEALTH INDIVIDUAL,"RAYMOND G. MURPHY VAMC, NM",NM,47.9
501G2,2026-01-21,MENTAL HEALTH INDIVIDUAL,"LAS VEGAS, NM",NM,210.0
501GA,2026-01-21,MENTAL HEALTH INDIVIDUAL,"ARTESIA VA CLINIC, NM",NM,44.9
501GB,2026-01-21,MENTAL HEALTH INDIVIDUAL,"FARMINGTON VA CLINIC, NM",NM,27.5
501GC,2026-01-21,MENTAL HEALTH INDIVIDUAL,"SILVER CITY VA CLINIC, NM",NM,79.0
501GE,2026-01-21,MENTAL HEALTH INDIVIDUAL,"ESPANOLA, NM",NM,82.7
501GI,2026-01-21,MENTAL HEALTH INDIVIDUAL,"ALAMOGORDO VA CLINIC, NM",NM,50.0
501GK,2026-01-21,MENTAL HEALTH INDIVIDUAL,"SANTA FE VA CLINIC, NM",NM,45.9
501GM,2026-01-21,MENTAL HEALTH INDIVIDUAL,"NORTHWEST METRO VA CLINIC, NM",NM,184.0
501GN,2026-01-21,MENTAL HEALTH INDIVIDUAL,"TAOS VA CLINIC, NM",NM,0.0
502,2026-01-21,MENTAL HEALTH INDIVIDUAL,"ALEXANDRIA VA MEDICAL CENTER, LA",LA,29.2
502GA,2026-01-21,MENTAL HEALTH INDIVIDUAL,"JENNINGS, LA",LA,21.8
502GE,2026-01-21,MENTAL HEALTH INDIVIDUAL,"DOUGLAS FOURNET VA CLINIC, LA",LA,37.8
502GF,2026-01-21,MENTAL HEALTH INDIVIDUAL,"FORT JOHNSON VA CLINIC, LA",LA,25.4
502GG,2026-01-21,MENTAL HEALTH INDIVIDUAL,"NATCHITOCHES VA CLINIC, LA",LA,24.0
502QB,2026-01-21,MENTAL HEALTH INDIVIDUAL,"LAFAYETTE CAMPUS B VA CLINIC, LA",LA,28.4
503,2026-01-21,MENTAL HEALTH INDIVIDUAL,"JAMES E. VAN ZANDT VAMC, PA",PA,14.2
503GA,2026-01-21,MENTAL HEALTH INDIVIDUAL,"JOHNSTOWN VA CLINIC, PA",PA,25.0
503GB,2026-01-21,MENTAL HEALTH INDIVIDUAL,"DU BOIS, PA",PA,28.5
503GC,2026-01-21,MENTAL HEALTH INDIVIDUAL,"STATE COLLEGE VA CLINIC, PA",PA,34.0
504,2026-01-21,MENTAL HEALTH INDIVIDUAL,"THOMAS E. CREEK VAMC, TX",TX,7.0
504BY,2026-01-21,MENTAL HEALTH INDIVIDUAL,"LUBBOCK VA CLINIC, TX",TX,4.3
504BZ,2026-01-21,MENTAL HEALTH INDIVIDUAL,"CLOVIS, NM",NM,2.0
506,2026-01-21,MENTAL HEALTH INDIVIDUAL,"LTC CHARLES S KETTLES VAMC, MI",MI,28.4
506GA,2026-01-21,MENTAL HEALTH INDIVIDUAL,"TOLEDO VA CLINIC, OH",OH,16.3
506GB,2026-01-21,MENTAL HEALTH INDIVIDUAL,"FLINT VA CLINIC, MI",MI,45.7
506GC,2026-01-21,MENTAL HEALTH INDIVIDUAL,"JACKSON, MI",MI,50.7
506GD,2026-01-21,MENTAL HEALTH INDIVIDUAL,"MG OLIVER W. DILLARD VA CLINIC, MI",MI,39.3
506GE,2026-01-21,MENTAL HEALTH INDIVIDUAL,"HOWELL VA CLINIC, MI",MI,41.0
506GF,2026-01-21,MENTAL HEALTH INDIVIDUAL,"ADRIAN VA CLINIC, MI",MI,62.4
506GG,2026-01-21,MENTAL HEALTH INDIVIDUAL,"FINDLAY VA CLINIC, OH",OH,21.0
