facility_id,ReportDate,AppointmentType,VA Facility Location,state,NewPatients
558BY,2025-10-25,MENTAL HEALTH INDIVIDUAL,"GARNER VA CLINIC, NC",NC,151.9
558BY,2025-10-26,MENTAL HEALTH INDIVIDUAL,"GARNER VA CLINIC, NC",NC,150.4
558BY,2025-10-27,MENTAL HEALTH INDIVIDUAL,"GARNER VA CLINIC, NC",NC,150.4
558BY,2025-10-28,MENTAL HEALTH INDIVIDUAL,"GARNER VA CLINIC, NC",NC,151.8
558BY,2025-10-29,MENTAL HEALTH INDIVIDUAL,"GARNER VA CLINIC, NC",NC,154.0
558BY,2025-10-30,MENTAL HEALTH INDIVIDUAL,"GARNER VA CLINIC, NC",NC,149.7
558BY,2025-11-01,MENTAL HEALTH INDIVIDUAL,"GARNER VA CLINIC, NC",NC,151.2
558BY,2025-11-03,MENTAL HEALTH INDIVIDUAL,"GARNER VA CLINIC, NC",NC,154.7
558BY,2025-11-04,MENTAL HEALTH INDIVIDUAL,"GARNER VA CLINIC, NC",NC,146.9
558BY,2025-11-05,MENTAL HEALTH INDIVIDUAL,"GARNER VA CLINIC, NC",NC,155.3
558BY,2025-11-07,MENTAL HEALTH INDIVIDUAL,"GARNER VA CLINIC, NC",NC,160.2
558BY,2025-11-08,MENTAL HEALTH INDIVIDUAL,"GARNER VA CLINIC, NC",NC,159.6
558BY,2025-11-09,MENTAL HEALTH INDIVIDUAL,"GARNER VA CLINIC, NC",NC,163.1
558BY,2025-11-10,MENTAL HEALTH INDIVIDUAL,"GARNER VA CLINIC, NC",NC,161.4
558BY,2025-11-11,MENTAL HEALTH INDIVIDUAL,"GARNER VA CLINIC, NC",NC,162.9
558BY,2025-11-13,MENTAL HEALTH INDIVIDUAL,"GARNER VA CLINIC, NC",NC,166.4
558BY,2025-11-14,MENTAL HEALTH INDIVIDUAL,"GARNER VA CLINIC, NC",NC,166.4
558BY,2025-11-15,MENTAL HEALTH INDIVIDUAL,"GARNER VA CLINIC, NC",NC,166.4
558BY,2025-11-16,MENTAL HEALTH INDIVIDUAL,"GARNER VA CLINIC, NC",NC,163.8
558BY,2025-11-17,MENTAL HEALTH INDIVIDUAL,"GARNER VA CLINIC, NC",NC,169.4
558BY,2025-11-18,MENTAL HEALTH INDIVIDUAL,"GARNER VA CLINIC, NC",NC,169.4
558BY,2025-11-19,MENTAL HEALTH INDIVIDUAL,"GARNER VA CLINIC, NC",NC,165.2
558BY,2025-11-20,MENTAL HEALTH INDIVIDUAL,"GARNER VA CLINIC, NC",NC,160.2
558BY,2025-11-21,MENTAL HEALTH INDIVIDUAL,"GARNER VA CLINIC, NC",NC,155.7
558BY,2025-11-22,MENTAL HEALTH INDIVIDUAL,"GARNER VA CLINIC, NC",NC,147.5
558BY,2025-11-23,MENTAL HEALTH INDIVIDUAL,"GARNER VA CLINIC, NC",NC,147.5
558BY,2025-11-24,MENTAL HEALTH INDIVIDUAL,"GARNER VA CLINIC, NC",NC,147.8
558BY,2025-11-25,MENTAL HEALTH INDIVIDUAL,"GARNER VA CLINIC, NC",NC,150.1
558BY,2025-12-02,MENTAL HEALTH INDIVIDUAL,"GARNER VA CLINIC, NC",NC,164.9
558BY,2025-12-03,MENTAL HEALTH INDIVIDUAL,"GARNER VA CLINIC, NC",NC,171.0
558BY,2025-12-04,MENTAL HEALTH INDIVIDUAL,"GARNER VA CLINIC, NC",NC,167.9
558BY,2025-12-05,MENTAL HEALTH INDIVIDUAL,"GARNER VA CLINIC, NC",NC,163.3
558BY,2025-12-06,MENTAL HEALTH INDIVIDUAL,"GARNER VA CLINIC, NC",NC,160.1
558BY,2025-12-07,MENTAL HEALTH INDIVIDUAL,"GARNER VA CLINIC, NC",NC,159.6
558BY,2025-12-08,MENTAL HEALTH INDIVIDUAL,"GARNER VA CLINIC, NC",NC,151.6
558BY,2025-12-09,MENTAL HEALTH INDIVIDUAL,"GARNER VA CLINIC, NC",NC,150.9
558BY,2025-12-10,MENTAL HEALTH INDIVIDUAL,"GARNER VA CLINIC, NC",NC,151.6
558BY,2025-12-11,MENTAL HEALTH INDIVIDUAL,"GARNER VA CLINIC, NC",NC,150.3
558BY,2025-12-12,MENTAL HEALTH INDIVIDUAL,"GARNER VA CLINIC, NC",NC,155.3
558BY,2025-12-13,MENTAL HEALTH INDIVIDUAL,"GARNER VA CLINIC, NC",NC,139.3
558BY,2025-12-14,MENTAL HEALTH INDIVIDUAL,"GARNER VA CLINIC, NC",NC,139.3
